0 [-1.20e+00, -1.61e+00, -2.30e+00]
2000 [-2.03e+00, -1.61e+00, -2.87e+00]
4000 [-2.29e+00, -1.57e+00, -3.07e+00]
6000 [-2.19e+00, -1.54e+00, -3.05e+00]
8000 [-2.03e+00, -1.48e+00, -3.03e+00]
10000 [-1.98e+00, -1.49e+00, -3.03e+00]
12000 [-1.93e+00, -1.60e+00, -3.03e+00]
14000 [-1.89e+00, -1.68e+00, -3.02e+00]
16000 [-1.86e+00, -1.74e+00, -3.02e+00]
18000 [-1.84e+00, -1.80e+00, -3.02e+00]
20000 [-1.82e+00, -1.83e+00, -3.02e+00]
22000 [-1.89e+00, -2.05e+00, -3.03e+00]
24000 [-1.78e+00, -2.03e+00, -3.03e+00]
25000 [-1.75e+00, -2.02e+00, -3.03e+00]
